job_id,job_title,job_description
1,Software Engineer,Build scalable platforms supporting women entrepreneurs.
2,Marketing Specialist,Promote women-led startups through marketing campaigns.
3,Data Analyst,Analyze workforce participation trends.
4,HR Manager,Manage inclusive HR initiatives.
5,UI/UX Designer,Design user-centric platforms for women job seekers.
6,Product Manager,Lead products empowering working women.
7,Financial Analyst,Financial modeling for women initiatives.
8,Content Writer,Create content for women leadership programs.
9,Legal Advisor,Legal consulting for women-led businesses.
10,Community Manager,Manage empowerment communities online and offline.
